character,has_2_gradient,selected_gradient_1,selected_gradient_2,mf0_1,mf0_1_end,mf1_1,mf1_1_end,mf2_1,mf2_1_end,mf3_1,mf3_1_end,mf4_1,mf4_1_end,mf0_2,mf0_2_end,mf1_2,mf1_2_end,mf2_2,mf2_2_end,mf3_2,mf3_2_end,mf4_2,mf4_2_end,causes_0,causes_1,causes_2,causes_3,causes_4,causes_0_b,causes_1_b,causes_2_b,causes_3_b,causes_4_b
0,0,2,,0.249,0.616,0.332,0.667,0.5,0.6,0.454,0.751,0.799,1.001,,,,,,,,,,,1,3,4,2,0,,,,,
1,1,2,3,0.099,0.167,0.132,0.231,0.049,1.001,0.11,1.001,0.141,1.001,0.165,0.251,-3.001,0.273,-0.308,0.364,0.213,0.376,-4.001,0.401,0,4,3,1,2,0,1,4,3,2
2,0,2,,-5.001,-0.999,-1.501,-0.857,-1.501,-0.352,-0.471,-0.294,-2.001,-0.153,,,,,,,,,,,2,1,0,4,3,,,,,
3,0,3,,-11.001,-2.999,-4.501,-1.333,-3.001,-0.666,-4.667,1.084,0.999,1.201,,,,,,,,,,,3,2,1,4,0,,,,,
4,0,3,,-14.001,-7.499,-8.501,-5.999,-6.001,-3.249,1.333,1.858,-15.001,16.001,,,,,,,,,,,0,2,1,3,4,,,,,
5,0,2,,0.153,0.438,-1.001,0.751,0.11,2.001,0.615,5.001,0.846,6.501,,,,,,,,,,,0,2,1,3,4,,,,,
6,0,2,,0.266,0.287,0.076,0.501,0.363,0.584,0.285,0.616,0.356,0.616,,,,,,,,,,,2,1,4,3,0,,,,,
7,0,1,,-10.001,-2.499,-5.501,-2.499,-4.667,-0.999,-3.667,-0.499,-4.001,-0.363,,,,,,,,,,,1,2,0,3,4,,,,,
8,0,2,,0.157,0.467,0.357,0.501,0.249,0.751,0.249,1.001,0.332,3.001,,,,,,,,,,,0,3,4,1,2,,,,,
9,0,2,,0.095,0.305,0.221,0.801,0.999,1.251,0.571,1.334,0.999,1.667,,,,,,,,,,,0,4,3,1,2,,,,,
